2023-12-29 15:55:00 Launching analysis for ae9cfd679f776d5e2333305bf8610100 with LEAN Engine v2.5.0.0.17286
2023-12-29 15:55:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2023-12-29 15:55:00 Algorithm starting warm up...
2023-12-29 15:55:00 Params OK | mode=json-live poll=60m sizing=linear cap=0.60 floor=0.10 url=https://gist.githubusercontent.com/racoope70/3deb62ce13c3eaa...
2024-01-02 09:32:00 Algorithm finished warming up.
2024-01-02 10:00:00 GE: BUY (conf=0.15)
2024-01-18 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-18 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-19 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-22 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-23 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-24 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-25 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-26 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-29 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-30 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-01-31 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-01 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-02 15:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-05 10:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-05 11:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-05 12:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-05 13:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
2024-02-05 14:00:00 Rebalance: buys=1, sells=0, holds=0, gross=0.09
You currently have a maximum of 10kb of log data per backtest, and 10kb total max per day. Have you tried step-by-step debugging? See more at https://qnt.co/debugging or upgrade your organization type for more logs at https://www.quantconnect.com/pricing
